live_id,started,end,subject,fee,taken,comment_count,score,message_count,user_id,auth_description,status,short_name,live_num,available_num,great_num,answer_count,articles_count,columns_count,favorite_count,favorited_count,follower_count,following_columns_count,following_count,following_favlists_count,following_question_count,following_topic_count,gender,hosted_live_count,logs_count,marked_answers_count,participated_live_count,pins_count,question_count,thanked_count,user_type,voteup_count,business_name,diploma,school,location
8.91E+17,1505100335,1506174581,作者摄影Lv1.2：什么是最好的摄影镜头,298,139,30,5,2,18cf8afad0e11bdddea86aaee0f765cd,主讲人已通过实名认证。,ended,艺术,595,590,584,34,1,1,5,4541,7354,5,104,0,77,7,1,14,0,6,27,71,0,1303,people,5262,高等教育,0,巴黎·索邦大学,北京
8.91E+17,1505100597,1506696119,作者摄影Lv1.3：黑白摄影从认识底片开始,249,129,28,5,1,18cf8afad0e11bdddea86aaee0f765cd,主讲人已通过实名认证。,ended,艺术,595,590,584,34,1,1,5,4541,7354,5,104,0,77,7,1,14,0,6,27,71,0,1303,people,5262,高等教育,0,巴黎·索邦大学,北京
8.91E+17,1505101467,1507042196,作者摄影Lv1.4：摄影中的立体构成与光照分析初步,398,135,30,5,0,18cf8afad0e11bdddea86aaee0f765cd,主讲人已通过实名认证。,ended,艺术,595,590,584,34,1,1,5,4541,7354,5,104,0,77,7,1,14,0,6,27,71,0,1303,people,5262,高等教育,0,巴黎·索邦大学,北京
8.91E+17,1505101885,1507733575,作者摄影Lv1.6：学不会的区域曝光法，这次解决,698,123,22,4.82,7,18cf8afad0e11bdddea86aaee0f765cd,主讲人已通过实名认证。,ended,艺术,595,590,584,34,1,1,5,4541,7354,5,104,0,77,7,1,14,0,6,27,71,0,1303,people,5262,高等教育,0,巴黎·索邦大学,北京
8.91E+17,1505102285,1507384941,作者摄影Lv1.5：摄影中的光照与材质分析,549,121,22,5,12,18cf8afad0e11bdddea86aaee0f765cd,主讲人已通过实名认证。,ended,艺术,595,590,584,34,1,1,5,4541,7354,5,104,0,77,7,1,14,0,6,27,71,0,1303,people,5262,高等教育,0,巴黎·索邦大学,北京
8.91E+17,1505102787,1509122157,作者摄影Lv1.7：建设你的专业暗房工作室,598,118,21,4.95,365,18cf8afad0e11bdddea86aaee0f765cd,主讲人已通过实名认证。,ended,艺术,595,590,584,34,1,1,5,4541,7354,5,104,0,77,7,1,14,0,6,27,71,0,1303,people,5262,高等教育,0,巴黎·索邦大学,北京
8.91E+17,1505106659,1512826860,作者摄影Lv1.8：美术级作品的标准与制作工艺,398,115,14,5,6,18cf8afad0e11bdddea86aaee0f765cd,主讲人已通过实名认证。,ended,艺术,595,590,584,34,1,1,5,4541,7354,5,104,0,77,7,1,14,0,6,27,71,0,1303,people,5262,高等教育,0,巴黎·索邦大学,北京
8.91E+17,1505106933,1514295093,作者摄影Lv1.10：影像编辑与平面语言基础,298,116,11,5,3,18cf8afad0e11bdddea86aaee0f765cd,主讲人已通过实名认证。,ended,艺术,595,590,584,34,1,1,5,4541,7354,5,104,0,77,7,1,14,0,6,27,71,0,1303,people,5262,高等教育,0,巴黎·索邦大学,北京
8.91E+17,1505100095,1506090716,作者摄影Lv1.1：选一台你梦想中的相机，并不简单,249,152,44,5,1,18cf8afad0e11bdddea86aaee0f765cd,主讲人已通过实名认证。,ended,艺术,595,590,584,34,1,1,5,4541,7354,5,104,0,77,7,1,14,0,6,27,71,0,1303,people,5262,高等教育,0,巴黎·索邦大学,北京
7.62E+17,1474430019,1474902376,黄金周必备：手机摄影实用技巧,29.9,1504,137,4.68,275,002cfdef4dc31491651654859fd0e612,主讲人已通过实名认证。,ended,生活方式,1092,1066,1063,431,20,1,24,140656,144375,21,403,8,685,90,1,2,22,17,13,137,0,34811,people,122174,创意艺术,0,伦敦大学学院 (UCL),深圳市
7.59E+17,1473821683,1474382473,普通人如何开始学习摄影,29.9,1242,64,4.19,189,002cfdef4dc31491651654859fd0e612,主讲人已通过实名认证。,ended,音影游,597,585,580,431,20,1,24,140656,144375,21,403,8,685,90,1,2,22,17,13,137,0,34811,people,122174,创意艺术,0,伦敦大学学院 (UCL),深圳市
9.80E+17,1526368408,1526739742,第五届知乎盐 Club 新知青年大会官方直播,0,9319,327,4.68,0,b7c5d4d3cb9964ccc0420cd260fad201,,ended,互联网,1085,1067,1047,7,85,2,4,18280,27465,3,36,0,11,0,1,1,9,0,0,80,1,30,people,40839,互联网,,,北京
8.51E+17,1495692478,1496760592,讲老摄影师格雷戈尔的故事,9.99,472,129,4.9,289,7cc6fd849698a70bbe086baa6d8356bd,主讲人已通过实名认证。,ended,艺术,595,590,584,137,31,2,0,68343,87689,129,934,1,1098,13,1,3,0,10,64,366,0,10824,people,46023,职业教育,0,巴楚县电大工作站,中洛锡安
8.35E+17,1491890283,1492957714,一小时熟知现在的星空：春季,19,34,4,0,94,a542717dd884f2dd1155d50b1b04eb02,主讲人已通过实名认证。,ended,科学技术,675,664,662,221,12,1,21,3074,4278,25,432,2,818,31,1,3,55,3,5,74,7,1520,people,7760,高等教育,,,南京
8.30E+17,1490688529,1491641309,More Is Different：对称性与复杂性,19,306,29,4.48,192,04f671902859b5d2452cc968e96f992e,主讲人已通过实名认证。,ended,科学技术,675,664,662,265,18,3,1,120316,109404,46,770,56,463,85,0,3,332,28,22,127,39,41390,people,183170,,,,
8.18E+17,1487739404,1488291968,如何克服社交恐惧,29.9,3391,579,4.36,67,795faf4d12d822b914dd05d068c1d594,主讲人已通过实名认证。,ended,心理学,313,303,291,306,87,1,0,145637,134440,4,185,0,481,69,0,11,0,3,17,121,0,27248,people,142492,高等教育,0,香港大学,美国
7.96E+17,1482484694,1484463698,从月球回来这 48 年,99,24160,1780,4.31,31,64d4430d4c34494719ef08f51c981b61,,ended,科学技术,675,664,662,0,0,0,0,0,3160,0,3,0,0,2,1,1,0,0,0,0,0,0,people,0,航天,,,Montclair
7.95E+17,1482217989,1482764125,人像写真该怎么样系统学习？,9.99,1079,134,3.64,212,cb0e0dde840f96a378f4b054a57a2ef1,主讲人已通过实名认证。,ended,音影游,597,585,580,335,31,2,2,213613,123622,23,251,3,569,84,1,2,54,0,17,490,8,27861,people,150721,信息传媒,,长沙理工大学,北京
7.87E+17,1480490654,1480816324,好莱坞重量级巨星与你聊电影,19.9,11037,704,4.1,54,abfcbcfb05cf0993f44489fd54c1a05a,,ended,音影游,597,585,580,0,0,0,0,0,1020,0,0,0,0,3,1,1,0,0,0,0,0,0,people,0,艺术娱乐,,,美国
7.84E+17,1479786847,1480776391, 一小时熟知现在的星空：冬季篇,20,395,37,4.35,118,a542717dd884f2dd1155d50b1b04eb02,主讲人已通过实名认证。,ended,科学技术,675,664,662,221,12,1,21,3074,4278,25,432,2,818,31,1,3,55,3,5,74,7,1520,people,7760,高等教育,,,南京
7.60E+17,1473937848,1474380589,波普艺术：汤罐头与漫画书,19.62,338,37,4.95,142,89f81801990193dcf8d95677d6fe9f18,主讲人已通过实名认证。,ended,艺术,595,590,584,106,127,2,0,24229,177003,50,149,4,309,13,1,26,249,33,54,16,5,9582,people,52651,创意艺术,0,苏富比艺术学院,北京
7.59E+17,1473670379,1474766215,人人都该懂点西方建筑史,50,353,22,4.14,337,e9f425941fda7bb1a3e370f1267bdc99,主讲人已通过实名认证。,ended,艺术,595,590,584,138,14,1,21,27364,40377,48,259,4,380,64,1,8,72,28,18,78,10,6471,people,18521,房地产,,沈阳建筑大学,深圳市
7.46E+17,1470751821,1471444635,从零开始，制作属于你的短视频,16.9,1999,94,4.11,150,cd300884ea76d78e0cd2be70cb5c89f2,主讲人已通过实名认证。,ended,商业,532,520,512,98,20,1,1,49886,28064,79,643,3,657,31,0,7,9,7,46,47,1,12196,people,66402,,0,NYU,
7.23E+17,1465122632,1465304400,「艺术」的名分,9.99,593,49,4.8,127,89f81801990193dcf8d95677d6fe9f18,主讲人已通过实名认证。,ended,艺术,595,590,584,106,127,2,0,24229,177003,50,149,4,309,13,1,26,249,33,54,16,5,9582,people,52651,创意艺术,0,苏富比艺术学院,北京
9.00E+17,1507272466,1509185778,调色：从模仿到应用,10,2316,444,4.9,415,7cc6fd849698a70bbe086baa6d8356bd,主讲人已通过实名认证。,ended,生活方式,1092,1066,1063,137,31,2,0,68343,87689,129,934,1,1098,13,1,3,0,10,64,366,0,10824,people,46023,职业教育,0,巴楚县电大工作站,中洛锡安
8.57E+17,1496991152,1498300371,调色师眼中的ACR/LR预设设计,9.99,3190,673,4.95,372,7cc6fd849698a70bbe086baa6d8356bd,主讲人已通过实名认证。,ended,生活方式,1092,1066,1063,137,31,2,0,68343,87689,129,934,1,1098,13,1,3,0,10,64,366,0,10824,people,46023,职业教育,0,巴楚县电大工作站,中洛锡安
9.28E+17,1513932409,1516538567,地球自拍史-遥感卫星,9.99,152,39,4.82,158,1e46f3e5d639df0fab5e64a6ef2158ef,主讲人已通过实名认证。,ended,科学技术,675,664,662,40,84,2,2,3085,9761,8,442,0,82,73,1,5,2,7,13,22,0,283,people,4157,航天,,中国科学院大学,上海
9.27E+17,1513851304,1515421399,人像摄影：如何将女生拍成女神？,9.9,3322,479,4.54,262,f774299caee650b2060621912bdfbbbd,主讲人已通过实名认证。,ended,生活方式,1092,1066,1063,70,27,1,9,5412,6225,60,256,4,129,269,0,2,9,0,63,65,2,66,people,2080,广告,0,北京电影学院,北京生活
9.27E+17,1513849723,1516119965,如何彻底读懂一张照片的直方图,9.99,1191,228,4.84,566,3ea2a5b8b246612f9f0403d48060ca7b,主讲人已通过实名认证。,ended,艺术,595,590,584,300,192,5,0,496948,312721,4,63,0,597,5,1,4,161,34,3,16,33,75007,people,275245,互联网,,,重庆
9.24E+17,1512979874,1514564132,穷摄影师的逆袭之路,9.99,2294,608,4.89,339,61ad5a0e50d420e70efd283d0cae9a24,主讲人已通过实名认证。,ended,音影游,597,585,580,774,51,3,3,24651,87370,14,785,4,948,52,1,2,35,2,23,408,2,10643,people,57461,职业教育,0,广州美术学院,武汉
9.22E+17,1512527579,1514567768,photoshop修图入门与进阶1,29.99,960,123,4.63,236,0cbc103fd5e26733fbb731a3b14a711c,主讲人已通过实名认证。,ended,设计,380,377,371,294,21,1,2,21705,24667,9,38,0,384,35,1,1,33,0,2,1,3,4801,people,20878,军火,,,
9.16E+17,1511248251,1512897928,聊聊影视后期中的特效合成。,9.99,154,24,4.67,173,03d6fbcc6211e70498a6832ded59e2fb,主讲人已通过实名认证。,ended,音影游,597,585,580,53,11,1,2,958,2884,7,81,0,64,10,1,5,17,0,6,4,2,281,people,1700,创意艺术,0,college lasalle,Vancouver
9.18E+17,1511532125,1512912275,马力全开：从大脑到颜值，女神进化论,19,2963,113,4.38,9,c6e85ba5d5999df4c5ce2f2903b1ce0e,主讲人已通过实名认证。,ended,互联网,1085,1067,1047,1249,1586,4,13,408096,477582,21,1170,5,3762,59,1,32,730,44,55,2505,270,76652,people,526131,互联网,,北京邮电大学,北京
8.35E+17,1491794041,1493474490,是什么吸引了你？视觉的注意与搜索,49,182,27,4.63,73,bcc80deb11cdfe9193a673236d55f194,主讲人已通过实名认证。,ended,心理学,313,303,291,225,48,4,5,28101,52970,22,240,0,855,52,1,8,89,67,8,298,3,8992,people,35622,科研,0,南洋理工大学（Nanyang Technological University）,新加坡
8.35E+17,1491798326,1494077933,视觉的原理与缺陷分别是什么？,49,180,16,4.63,64,bcc80deb11cdfe9193a673236d55f194,主讲人已通过实名认证。,ended,心理学,313,303,291,225,48,4,5,28101,52970,22,240,0,855,52,1,8,89,67,8,298,3,8992,people,35622,科研,0,南洋理工大学（Nanyang Technological University）,新加坡
8.35E+17,1491798439,1494682548,立体的世界来自于解读平面,49,172,13,4.85,51,bcc80deb11cdfe9193a673236d55f194,主讲人已通过实名认证。,ended,心理学,313,303,291,225,48,4,5,28101,52970,22,240,0,855,52,1,8,89,67,8,298,3,8992,people,35622,科研,0,南洋理工大学（Nanyang Technological University）,新加坡
8.94E+17,1505814342,1507814866,拍照时如何摆pose更好看？,9.99,978,162,4.51,108,2a3ef9acf030f61aaa93150032d1b9a4,主讲人已通过实名认证。,ended,旅行,214,206,208,42,41,2,0,80441,35603,14,105,0,64,16,0,1,23,0,8,8,0,2546,people,31893,人力资源,0,香港中文大学,杭州
8.88E+17,1504507613,1506179080,如何自检、治疗小病，防止其成为大患,9.99,1288,180,4.89,262,bb2a8d920c79925c9bb16a3a35b8e45e,主讲人已通过实名认证。,ended,医学健康,422,416,415,482,32,1,3,241022,145842,4,148,0,1097,220,1,7,374,13,6,51,1,65095,people,453548,,,医学博士,
8.79E+17,1502447027,1503587110,萌新商业摄影师如何装dalao？,9.99,1178,293,4.97,410,61ad5a0e50d420e70efd283d0cae9a24,主讲人已通过实名认证。,ended,职业,1915,1894,1858,774,51,3,3,24651,87370,14,785,4,948,52,1,2,35,2,23,408,2,10643,people,57461,职业教育,0,广州美术学院,武汉
8.74E+17,1501232693,1502199675,怎样让美食摄影有“钱味儿”,10,598,118,4.7,182,508fc1d48f7e14c4b5e5e4a51da5787c,主讲人已通过实名认证。,ended,艺术,595,590,584,1391,49,2,0,41669,30450,0,1,0,5,20,1,1,10,3,5,83,2,11060,people,49653,创意艺术,,,北京
8.67E+17,1499572056,1500299986,AI 老师：30 天拯救多年英语渣,9.99,2628,204,3.77,123,f8016a62f4701709e29509f095777a9f,主讲人已通过实名认证。,ended,互联网,1085,1067,1047,6,0,0,0,371,2329,0,83,0,9,3,1,1,0,0,0,0,0,102,people,281,互联网,0,普林斯顿大学,上海
8.62E+17,1498194375,1498732238,不该被遗忘：22 位慰安妇老人的人生故事,9.9,1216,209,4.86,43,d215061000443bf118160e7cbfd61288,主讲人已通过实名认证。,ended,音影游,597,585,580,6,0,0,0,169,5530,0,0,0,6,3,1,1,0,2,0,0,0,979,people,8945,创意艺术,,,北京
8.63E+17,1498636906,1500646637,冷门小语种学习躲坑指南,9.99,425,112,4.71,168,3421fa0e4dacfc1296b3e47e50339976,主讲人已通过实名认证。,ended,教育,2329,2310,2282,267,42,1,0,6883,10823,18,236,4,366,58,0,15,106,0,8,434,10,4773,people,37737,国防军事,0,北京大学,北京
8.54E+17,1496383903,1498402830,性价比最高的英语学习方法 ,29.99,14590,2982,4.78,250,555e128d6508e81f35570d625abe4ec1,主讲人已通过实名认证。,ended,职业,1915,1894,1858,8,11,1,0,10352,21019,1,15,0,9,26,0,5,5,0,0,2,2,1520,people,4373,,,,北京
8.60E+17,1497935296,1499507484,摄影展的形式与策略,9.99,77,16,4.69,132,f3cec7084391dc454686e075a3aa4312,主讲人已通过实名认证。,ended,艺术,595,590,584,47,9,1,1,4367,2524,8,51,0,99,7,0,3,7,4,6,12,1,993,people,5373,,,复旦大学,芝加哥（Chicago）
8.58E+17,1497348282,1498569740,郎朗亲述：弹琴 30 年，音乐教给我的事,9.99,15027,2033,4.77,38,aee1bb69845226f779ecd351a83eeb02,主讲人已通过实名认证。,ended,艺术,595,590,584,11,0,0,0,11975,109299,0,7,0,31,7,1,1,0,10,1,27,0,8832,people,75829,,,,
8.56E+17,1496825973,1498054415,不美的美学：从古希腊到基督教,20,569,72,4.56,336,6d8ee25f3187e29a8046e06d88cd9351,主讲人已通过实名认证。,ended,生活方式,1092,1066,1063,997,69,4,5,17699,36712,98,475,5,2382,120,1,1,89,3,6,1196,0,13106,people,87201,科研,0,北京大学,北京
8.30E+17,1490683781,1491577605,我在伊拉克的 25 天,39,184,50,4.84,179,ceccd409800ef92cda5cfa43fa35403d,主讲人已通过实名认证。,ended,生活方式,1092,1066,1063,13,1,0,0,986,4945,0,14,0,15,3,-1,2,0,1,4,3,0,1124,people,9378,,,,
8.49E+17,1495086742,1496247918,埃及古迹深度游攻略,19.99,112,28,4.89,348,ceccd409800ef92cda5cfa43fa35403d,主讲人已通过实名认证。,ended,旅行,214,206,208,13,1,0,0,986,4945,0,14,0,15,3,-1,2,0,1,4,3,0,1124,people,9378,,,,
8.22E+17,1488791538,1491556593,如何通过欣赏西方古典绘画提升审美能力,75,2452,246,4.57,64,e892be03a0e087c8e25b41274bdff20b,主讲人已通过实名认证。,ended,艺术,595,590,584,2,0,0,0,264,8645,0,1,0,2,4,-1,2,0,0,0,0,0,126,people,551,,,,
8.22E+17,1488791380,1491902235,60 分钟让你洞悉中国古典绘画的美学价值,75,1436,90,4.8,80,e892be03a0e087c8e25b41274bdff20b,主讲人已通过实名认证。,ended,艺术,595,590,584,2,0,0,0,264,8645,0,1,0,2,4,-1,2,0,0,0,0,0,126,people,551,,,,
8.22E+17,1488770216,1489761291,阿拉伯有「文学」吗？,9.99,151,31,4.97,157,3421fa0e4dacfc1296b3e47e50339976,主讲人已通过实名认证。,ended,艺术,595,590,584,267,42,1,0,6883,10823,18,236,4,366,58,0,15,106,0,8,434,10,4773,people,37737,国防军事,0,北京大学,北京
8.12E+17,1486393095,1487428685,玩转滤镜，拍出漂亮的风景照,16.99,272,26,3.77,195,71de14d92f495b802031574ff2436456,主讲人已通过实名认证。,ended,音影游,597,585,580,2601,125,4,1,116503,87510,18,988,6,2802,35,1,3,327,0,21,1055,37,21876,people,148747,石油工业,,,克拉玛依
8.13E+17,1486618597,1487599583,利用地图，开启摄影世界新大门,29,87,16,4.19,90,4502e19662989d2584c5a14a7386a03f,主讲人已通过实名认证。,ended,音影游,597,585,580,223,24,1,13,98345,41081,36,658,33,1699,224,1,8,117,2,10,593,19,22147,people,138438,互联网,,nsmn,北京
8.02E+17,1483952490,1485182014,转型之路：胖子工程师到健身教练,29,661,162,4.83,76,a4f4a315ff5f51b3e7fe85fbddef8a76,主讲人已通过实名认证。,ended,体育,245,226,243,54,56,1,2,160110,90190,1,157,0,98,12,0,5,3,13,3,16,0,24136,people,81301,体育健身,,,北京
8.03E+17,1484283983,1484923610,从零开始学摄影,9.99,3608,431,4.51,197,71de14d92f495b802031574ff2436456,主讲人已通过实名认证。,ended,音影游,597,585,580,2601,125,4,1,116503,87510,18,988,6,2802,35,1,3,327,0,21,1055,37,21876,people,148747,石油工业,,,克拉玛依
8.01E+17,1483781313,1484315380,风中的王朝：青铜、甲骨、活人祭,19,8287,1900,4.84,120,2b1f1a8e5481f8c3e054bb132dde101a,主讲人已通过实名认证。,ended,艺术,595,590,584,97,9,1,1,110010,337340,12,663,0,318,29,1,4,80,2,26,183,12,45251,people,453915,博物馆,,,北京
7.95E+17,1482218728,1483367943,机器人与传媒业的未来,19,212,35,4.74,67,f950c476fce87705539e3f9dc7d87e28,主讲人已通过实名认证。,ended,互联网,1085,1067,1047,125,81,5,0,46893,48185,10,183,0,147,50,1,7,98,6,14,60,7,6471,people,61493,高等教育,0,宾夕法尼亚大学 (University of Pennsylvania),费城
7.94E+17,1482137468,1483176139,后期特效，选专业很重要！,9.99,731,134,4.57,180,03d6fbcc6211e70498a6832ded59e2fb,主讲人已通过实名认证。,ended,音影游,597,585,580,53,11,1,2,958,2884,7,81,0,64,10,1,5,17,0,6,4,2,281,people,1700,创意艺术,0,college lasalle,Vancouver
7.93E+17,1481786274,1483972263,如何保养和康复膝盖？,19,2993,372,4.59,201,440876e577bc9391b22ee2e04db078c3,主讲人已通过实名认证。,ended,体育,245,226,243,387,407,5,1,810732,160284,7,125,1,425,34,1,24,13,6,38,46,2,39853,people,194461,医疗服务,0,北京体育大学,北京
7.92E+17,1481553984,1484234036,《比利·林恩》立体摄影师亲自揭秘 120 帧背后的故事,4.99,2519,113,4.33,125,64e7ac7ef1a78960d32665d5f666fef5,,ended,音影游,597,585,580,0,0,0,0,0,417,0,2,0,0,0,-1,1,0,0,0,0,0,0,people,0,,0,多伦多大学 (University of Toronto),多伦多
7.88E+17,1480574855,1481554819,我在美国拍婚礼,9.99,225,21,4.24,125,50fd04083e7ae0f0f0cc8ed33a5196a4,主讲人已通过实名认证。,ended,生活方式,1092,1066,1063,1119,8,0,1,6717,6152,19,241,2,1630,15,1,3,561,4,3,16,51,3759,people,19801,创意艺术,,宾夕法尼亚大学 (University of Pennsylvania),西雅图（Seattle）
7.44E+17,1470282312,1470662368,从北京郊区的食人魔说起,9.99,5205,1110,4.86,86,2b1f1a8e5481f8c3e054bb132dde101a,主讲人已通过实名认证。,ended,艺术,595,590,584,97,9,1,1,110010,337340,12,663,0,318,29,1,4,80,2,26,183,12,45251,people,453915,博物馆,,,北京
7.86E+17,1480140345,1480654746,奥斯卡奖得主说：怎么拍电影不亏钱,45,14453,785,3.74,32,23ad617da2172923c7a2d90faf781233,,ended,音影游,597,585,580,0,0,0,0,0,1055,0,0,0,0,1,1,1,0,0,0,0,0,0,people,0,,,,美国
7.82E+17,1479286255,1480173791,参加摄影比赛的正确姿势,19.99,967,143,4.77,179,d05de6224118819ddd29f0447da00c07,主讲人已通过实名认证。,ended,艺术,595,590,584,329,100,5,21,94925,152039,27,374,12,894,51,1,20,255,33,57,443,24,21350,people,164519,创意艺术,,,纽约
7.80E+17,1478669922,1480262234,与李轶睿谈英国,29,1695,162,4.38,151,b1a3919d6cf4f505dd6f41f09c028437,主讲人已通过实名认证。,ended,旅行,214,206,208,352,8,0,0,210793,269476,17,3072,2,2476,31,1,2,1040,28,18,39,100,102808,people,569600,,0,剑桥三一学院,英国
7.72E+17,1476862048,1478705421,如何让你的摄影作品走出朋友圈,19.99,23582,1065,4.56,283,d05de6224118819ddd29f0447da00c07,主讲人已通过实名认证。,ended,生活方式,1092,1066,1063,329,100,5,21,94925,152039,27,374,12,894,51,1,20,255,33,57,443,24,21350,people,164519,创意艺术,,,纽约
7.75E+17,1477633619,1478329107,我在国家博物馆的这五年,9.99,4361,822,4.88,150,2b1f1a8e5481f8c3e054bb132dde101a,主讲人已通过实名认证。,ended,职业,1915,1894,1858,97,9,1,1,110010,337340,12,663,0,318,29,1,4,80,2,26,183,12,45251,people,453915,博物馆,,,北京
7.74E+17,1477307171,1478179112, 搜狗输入法的前世今生,29,1318,46,4.24,98,94eab470ba979b1956b238005d96c3dd,,ended,互联网,1085,1067,1047,4,0,0,0,0,299,1,25,0,56,20,1,1,0,0,1,0,0,4,people,21,互联网,0,清华大学,
7.72E+17,1476942805,1478533144,开始学一门外语，需要知道什么？,16.99,27196,1084,4.37,144,f86e593a394199398cb332f0ba04f31b,主讲人已通过实名认证。,ended,教育,2329,2310,2282,91,26,2,6,58984,99125,62,368,25,799,73,0,11,96,38,95,133,10,15045,people,55999,高等教育,,,上海
7.65E+17,1475147855,1476367733,这样吃涮肉，就地道了,2.14,3779,513,2.03,72,e735fad3d653ed8e28182057b6022eaa,,ended,美食,109,106,102,65,59,1,1,77915,28521,2,80,5,76,11,1,3,4,3,2,4,2,11411,people,53247,,,,北京
7.68E+17,1476002471,1476815996,如何「破解」一张照片的后期,32.99,1843,287,4.89,587,3ea2a5b8b246612f9f0403d48060ca7b,主讲人已通过实名认证。,ended,艺术,595,590,584,300,192,5,0,496948,312721,4,63,0,597,5,1,4,161,34,3,16,33,75007,people,275245,互联网,,,重庆
7.62E+17,1474350092,1476444059, 摩洛哥不下线「直播 15 天」,28,567,25,4.36,460,e70d54ebc79ad96844de67a2dcf197ab,主讲人已通过实名认证。,ended,旅行,214,206,208,24,35,3,1,22405,28357,21,143,0,93,31,1,3,372,6,12,204,5,3045,people,50393,,,,Petropavlovsk-Kamchatsky
